Resultados caracterizador/46_-100.txt,114,183,265,210,111,948
Resultados caracterizador/46_-110.txt,114,183,246,177,83,911
Resultados caracterizador/47_-100.txt,114,183,265,210,111,948
Resultados caracterizador/47_-110.txt,114,183,246,177,83,911
Resultados caracterizador/48_-100.txt,114,183,265,210,111,948
Resultados caracterizador/48_-110.txt,114,183,246,177,83,911
Resultados caracterizador/49_-100.txt,114,183,265,210,111,948
Resultados caracterizador/49_-110.txt,114,183,246,177,83,911
Resultados caracterizador/50_-100.txt,114,183,265,210,111,948
Resultados caracterizador/50_-110.txt,114,183,246,177,83,911
Resultados caracterizador/51_-110.txt,114,183,246,177,83,911
Resultados caracterizador/52_-110.txt,114,183,246,177,83,911
Resultados caracterizador/53_-110.txt,114,183,246,177,83,911
Resultados caracterizador/54_-110.txt,114,183,246,177,83,911
Resultados caracterizador/55_-110.txt,114,183,246,177,83,911
