@RELATION music

@ATTRIBUTE escala {C+,B,A,F+,E,D,E-,B-,F,G,C,A-,D-}
@ATTRIBUTE armadura {2/8,3/8,1/4,9/8,2/2,3/4,4/4,6/8,2/4}
@ATTRIBUTE g1 NUMERIC
@ATTRIBUTE g2 NUMERIC
@ATTRIBUTE g3 NUMERIC
@ATTRIBUTE g4 NUMERIC
@ATTRIBUTE g5 NUMERIC
@ATTRIBUTE g6 NUMERIC
@ATTRIBUTE g7 NUMERIC
@ATTRIBUTE g8 NUMERIC
@ATTRIBUTE g9 NUMERIC
@ATTRIBUTE g10 NUMERIC
@ATTRIBUTE g11 NUMERIC
@ATTRIBUTE g12 NUMERIC
@ATTRIBUTE acorde1 NUMERIC
@ATTRIBUTE acorde2 NUMERIC
@ATTRIBUTE acorde3 NUMERIC
@ATTRIBUTE acorde4 NUMERIC
@ATTRIBUTE acorde5 NUMERIC
@ATTRIBUTE RHSonidos NUMERIC
@ATTRIBUTE LHSonidos NUMERIC
@ATTRIBUTE AmbasSonidos NUMERIC
@ATTRIBUTE RHSilencios NUMERIC
@ATTRIBUTE LHSilencios NUMERIC
@ATTRIBUTE AmbasSilencios NUMERIC
@ATTRIBUTE MasRuidosa {R,L,B}
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE O3 NUMERIC
@ATTRIBUTE O4 NUMERIC
@ATTRIBUTE O5 NUMERIC
@ATTRIBUTE O6 NUMERIC
@ATTRIBUTE O7 NUMERIC
@ATTRIBUTE RHMasGrave NUMERIC
@ATTRIBUTE RHMasAguda NUMERIC
@ATTRIBUTE LHMasGrave NUMERIC
@ATTRIBUTE LHMasAguda NUMERIC
@ATTRIBUTE RHAmplitud NUMERIC
@ATTRIBUTE LHAmplitud NUMERIC
@ATTRIBUTE TotalAmplitud NUMERIC
@ATTRIBUTE Compositor {Bach,Mozart,Muzio,Beethoven,Debussy,Joplin}

@DATA
D,"3/8",9,0,7,0,7,8,0,10,0,5,0,6,10,13,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,2,20,20,10,0,0,66,76,40,59,10,19,36,Bach
D,"3/8",8,0,8,0,6,4,0,4,0,1,0,3,14,10,0,0,0,1.0,0.5,1.0,0.0,0.5,0.0,R,0,1,9,15,9,0,0,62,76,45,57,14,12,31,Bach
D,"3/8",15,0,7,0,9,6,0,7,0,4,0,5,11,13,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,0,24,17,12,0,0,62,74,49,59,12,10,25,Bach
D,"3/8",10,0,7,0,8,5,0,3,0,2,0,2,11,13,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,0,21,2,14,0,0,62,83,49,59,21,10,34,Bach
D,"3/8",12,0,7,0,6,8,0,8,0,6,1,4,10,13,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,10,9,24,9,0,0,57,76,42,57,19,15,34,Bach
D,"3/8",5,0,2,0,3,4,0,2,0,1,0,2,3,8,0,0,0,0.8889,0.8889,0.8889,0.0,0.0,0.0,B,0,10,0,9,0,0,0,61,71,38,45,10,7,33,Bach
D,"3/8",7,0,7,7,0,7,0,7,6,0,2,3,18,6,0,0,0,1.0,0.5,1.0,0.0,0.5,0.0,R,0,0,12,27,7,0,0,61,76,49,58,15,9,27,Bach
D,"3/8",6,0,5,7,0,6,0,6,4,0,0,2,12,12,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,0,9,4,23,0,0,70,82,50,62,12,12,32,Bach
D,"3/8",10,0,9,7,0,8,0,6,5,0,8,0,11,13,0,0,0,0.8333,1.0,1.0,0.1667,0.0,0.0,L,0,0,13,19,21,0,0,67,79,48,62,12,14,31,Bach
D,"3/8",5,0,6,6,0,6,0,6,5,0,7,0,7,17,0,0,0,0.9167,1.0,1.0,0.0833,0.0,0.0,L,0,1,21,12,7,0,0,64,76,45,60,12,15,31,Bach
D,"3/8",8,0,4,7,0,6,0,5,6,0,11,0,15,8,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,12,10,17,8,0,0,65,72,36,53,7,17,36,Bach
D,"3/8",3,0,4,3,2,6,0,7,7,0,6,0,10,14,0,0,0,1.0,0.8333,1.0,0.0,0.1667,0.0,R,0,13,6,16,3,0,0,62,72,42,53,10,11,30,Bach
D,"3/8",10,0,7,7,0,3,3,6,3,6,8,0,11,13,0,0,0,1.0,0.8333,1.0,0.0,0.1667,0.0,R,0,9,4,25,15,0,0,60,77,40,53,17,13,37,Bach
D,"3/8",3,0,7,0,4,0,5,4,0,2,3,0,20,4,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,0,4,22,2,0,0,60,72,52,52,12,0,20,Bach
D,"3/8",9,0,10,4,2,2,2,8,2,4,6,0,13,10,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,0,4,26,19,0,0,66,81,52,65,15,13,29,Bach
